code,name,index_name,methodology_status,methodology_file,family,rebalance_frequency,rebalance_months,weighting_scheme,readiness,next_action,missing_data
102970,KODEX 증권,FnGuide Sector Coverage Index Series,available,etfs\raw\methodologies\102970_bf7dfdb2d9c3.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices
117680,KODEX 철강,,missing,,unknown,unknown,,unknown,blocked_missing_pdf,find_fnguide_methodology_pdf,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices
445150,KODEX 친환경조선해운액티브,FnGuide Shipbuilding & Shipping Industry Index,available,etfs\raw\methodologies\445150_15a11657b61c.pdf,sector_theme,quarterly,"5,6,11,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0115E0,KODEX 코리아소버린AI,FnGuide Korea AI Tech Core Industry Index,available,etfs\raw\methodologies\0115E0_a0fd547b69bf.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
266410,KODEX 필수소비재,Maekyung FnGuide Index Series,available,etfs\raw\methodologies\266410_165a330f5577.pdf,dividend,annual,6,equal_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
298770,KODEX 한국대만IT프리미어,FnGuide IT PLUS Index,available,etfs\raw\methodologies\298770_bea5dc8cb6b5.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
450190,KODEX 한중반도체(합성),FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\450190_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
266420,KODEX 헬스케어,FnGuide Healthcare Index,available,etfs\raw\methodologies\266420_9855e57bcb28.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
487130,KoAct AI인프라액티브,FnGuide AI Semiconductor & Infrastructure Index,available,etfs\raw\methodologies\487130_374de20750a1.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
462900,KoAct 바이오헬스케어액티브,FnGuide Healthcare Index,available,etfs\raw\methodologies\462900_9855e57bcb28.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
