code,name,status,source_url,page_url,file_path,sha256,bytes,query,error,provider,index_name,source_type,confidence
140700,KODEX 보험,downloaded,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.40.30,etfs\raw\methodologies\140700_165a330f5577.pdf,165a330f5577e5da11338b203aee7501dae23e22197e4e1c89d0c612632989bd,3014422,fnindex_catalog,,fnguide,MKF 보험,methodology_pdf,high
385510,KODEX 신재생에너지액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-Renewable Energy Plus_Index_Methodology_Book_삼성자산운용_(20210122)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.REP,etfs\raw\methodologies\385510_d8afbf8c3e96.pdf,d8afbf8c3e967de6daebc99a8caf5fce1beec3cbdc33968c2fea1400167752fc,983052,fnindex_catalog,,fnguide,FnGuide K-신재생에너지 플러스 지수,methodology_pdf,high
117460,KODEX 에너지화학,downloaded,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.10,etfs\raw\methodologies\117460_165a330f5577.pdf,165a330f5577e5da11338b203aee7501dae23e22197e4e1c89d0c612632989bd,3014422,fnindex_catalog,,fnguide,MKF 에너지,methodology_pdf,high
091170,KODEX 은행,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Bank_High_Dividend_Plus_TOP_10_Index_Methodology_Book_(20230825)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.BDP,etfs\raw\methodologies\091170_8e6e80515440.pdf,8e6e805154403828887873b309294e3fa91ce4d18fa0f9a075dfcdd0dbe8a766,1534837,fnindex_catalog,,fnguide,FnGuide 은행 고배당 플러스 TOP 10 지수,methodology_pdf,high
091180,KODEX 자동차,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Sector_Coverage_Index_Series_Methology_Book_미래_(20190701)_v2.3.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.IAM,etfs\raw\methodologies\091180_bf7dfdb2d9c3.pdf,bf7dfdb2d9c3d45600e03f87492ead504cbdcf775f8b9ea3675d967b6a1e4642,1050560,fnindex_catalog,,fnguide,FnGuide 자동차,methodology_pdf,high
0115D0,KODEX 조선TOP10,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.T10,etfs\raw\methodologies\0115D0_60b5df44287f.pdf,60b5df44287f33dde98cf9d724b7b6cc49b9161e513b994db9ae305797034944,939494,fnindex_catalog,,fnguide,FnGuide TOP10,methodology_pdf,high
102970,KODEX 증권,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Sector_Coverage_Index_Series_Methology_Book_미래_(20190701)_v2.3.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.ISC,etfs\raw\methodologies\102970_bf7dfdb2d9c3.pdf,bf7dfdb2d9c3d45600e03f87492ead504cbdcf775f8b9ea3675d967b6a1e4642,1050560,fnindex_catalog,,fnguide,FnGuide 증권,methodology_pdf,high
117680,KODEX 철강,not_found,,,,,0,,no methodology pdf candidate found,fnguide,,fnindex_search,low
445150,KODEX 친환경조선해운액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Shipbuilding_&_Shipping_Sector_Index_Methodology_Book_NHAmundi_(20220727)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NSH,etfs\raw\methodologies\445150_15a11657b61c.pdf,15a11657b61ce3073d864bf29923d72506c1ae3a638cea61ee070e664ea2a0ee,1512600,fnindex_catalog,,fnguide,FnGuide 조선해운 지수,methodology_pdf,high
0115E0,KODEX 코리아소버린AI,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Korea AI Tech Core Industry_Index_Methodology_Book_(20251201)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HTN,etfs\raw\methodologies\0115E0_a0fd547b69bf.pdf,a0fd547b69bfa32306908376e3db1633cd2f6f41563c66cc4a1738ec597160b0,1576091,fnindex_catalog,,fnguide,FnGuide 코리아AI테크핵심산업 지수,methodology_pdf,high
