code,name,product_family,coverage_provider,provider_status,source_candidate,source_kind,confidence,next_action
491820,HANARO 전력설비투자,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
461500,HANARO 종합채권(AA-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0191W0,HANARO 중기종합채권(A-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0111J0,HANARO 증권고배당TOP3플러스,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
495750,HANARO 코리아밸류업,domestic_factor_dividend_or_value,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
304770,HANARO 코스닥150,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
306530,HANARO 코스닥150선물레버리지,fixed_income_cash_commodity_or_derivative,,,krx,methodology_provider,medium,build_krx_methodology_probe
375760,HANARO 탄소효율그린뉴딜,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
491700,HK 200,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
0000Y0,HK 26-12 회사채(AA-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
215620,HK S&P코리아로우볼,foreign_or_global,,,sp_global,methodology_provider,medium,build_sp_global_methodology_probe
0113P0,HK 머니마켓액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
391670,HK 베스트일레븐액티브,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
472920,HK 종합채권(AA-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
472840,IBK 200,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
