code,name,is_domestic_sector,classification_reason,product_family,coverage_provider,provider_status,expansion_lane,next_action
0144L0,KODEX 미국성장커버드콜액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
390400,KODEX 미국스마트모빌리티S&P,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0167Z0,KODEX 미국우주항공,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0132H0,KODEX 미국원자력SMR,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
437080,KODEX 미국종합채권ESG액티브(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
419420,KODEX 미국클린에너지나스닥,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
491090,KODEX 미국테크TOP3플러스,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0038A0,KODEX 미국휴머노이드로봇,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
244580,KODEX 바이오,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
091160,KODEX 반도체,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
494310,KODEX 반도체레버리지,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0190G0,KODEX 반도체타겟위클리커버드콜,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
0080G0,KODEX 방산TOP10,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
0100K0,KODEX 방산TOP10레버리지,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
325020,KODEX 배당가치,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
244670,KODEX 밸류Plus,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
140700,KODEX 보험,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
102780,KODEX 삼성그룹,False,no_sector_keyword,domestic_group_or_theme,,,future_product_family,classify_index_provider_after_family_selection
213610,KODEX 삼성그룹밸류,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
