code,name,index_name,methodology_status,methodology_file,family,rebalance_frequency,rebalance_months,weighting_scheme,readiness,next_action,missing_data
253290,RISE 헬스케어채권혼합,FnGuide Healthcare Balanced Index,available,etfs\output\methodologies\253290_391d25c94326.pdf,equal_weight,semiannual,"5,11",market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices
491510,파워 K-주주가치액티브,FnGuide K-Shareholder Value Index,available,etfs\output\methodologies\491510_3dcfffc116a2.pdf,sector_theme,semiannual,"5,11",custom_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|custom_index_formula_inputs|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
244620,KODEX 모멘텀Plus,FnGuide Momentum Index,available,etfs\output\methodologies\244620_973fb7868147.pdf,equal_weight,quarterly,"1,4,7,10",equal_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
410870,TIME K컬처액티브,FnGuide K-Culture Index,available,etfs\output\methodologies\410870_7bd767b77e2a.pdf,equal_weight,semiannual,"6,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices
373490,KODEX 코리아혁신성장액티브,FnGuide KOREA High Dividend,available,etfs\output\methodologies\373490_e6f5d77736ff.pdf,dividend,semiannual,"5,11",float_market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
280920,PLUS 주도업종,FnGuide Leading Industry Index,available,etfs\output\methodologies\280920_6f41829cd366.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices
447660,PLUS 애플채권혼합,FnGuide APPLE Balanced Index,available,etfs\output\methodologies\447660_8319467896a0.pdf,theme,unknown,,unknown,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|stock_prices
0153P0,ACE 리츠부동산인프라액티브,FnGuide REITs Real Estate Infrastructure Index,available,etfs\output\methodologies\0153P0_96b3c73fc9df.pdf,dividend,semiannual,"6,12",market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
487750,BNK 온디바이스AI,FnGuide On-Device AI Index,available,etfs\output\methodologies\487750_d51284e3ed0e.pdf,equal_weight,semiannual,"6,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
234310,RISE V&S셀렉트밸류,FnGuide Select Value Index,available,etfs\output\methodologies\234310_c9bf121c65b5.pdf,equal_weight,unknown,"1,3,4,6,7,9,10,12",equal_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
395760,PLUS ESG성장주액티브,FnGuide ESGM ESG 지수,available,etfs\output\methodologies\395760_c2380f5c88ae.pdf,dividend,annual,5,market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|month_end_business_day_calendar|ranking_inputs|stock_prices|trading_value_liquidity
464610,SOL 의료기기소부장Fn,FnGuide Medical Device Materials & Equipment Index,available,etfs\output\methodologies\464610_aca3e09d507b.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
438900,HANARO Fn K-푸드,FnGuide K-Food Index,available,etfs\output\methodologies\438900_4292e84eb6ac.pdf,keyword_theme,quarterly,"5,6,11,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
407820,에셋플러스 코리아플랫폼액티브,FnGuide AI Platform Index,available,etfs\output\methodologies\407820_880faa2f3829.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0138D0,RISE 동학개미,FnGuide Investor’s choice KR Index,available,etfs\output\methodologies\0138D0_8556a49ed630.pdf,equal_weight,semiannual,"5,11",equal_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
251590,PLUS 고배당저변동50,FnGuide High Dividend Low Volatility 50 Index,available,etfs\output\methodologies\251590_2efaefd71409.pdf,dividend,quarterly,"5,6,11,12",equal_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
381570,HANARO Fn친환경에너지,FnGuide Green Energy Index,available,etfs\output\methodologies\381570_0ec8d43f2410.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
