code,name,product_family,source_confidence,index_name_candidates,methodology_probe,methodology_url_candidates,next_action
360750,TIGER 미국S&P500,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
448290,TIGER 미국S&P500(H),foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
488500,TIGER 미국S&P500동일가중,foreign_or_global,medium,S&P 500 Equal Weight,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spice-indices.com/idpfiles/spice-assets/resources/public/documents/methodology-sp-500-equal-weight-index.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
225040,TIGER 미국S&P500레버리지(합성 H),foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
429000,TIGER 미국S&P500배당귀족,foreign_or_global,medium,S&P 500 Dividend Aristocrats,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
143850,TIGER 미국S&P500선물(H),foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
225030,TIGER 미국S&P500선물인버스(H),foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
482730,TIGER 미국S&P500타겟데일리커버드콜,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
426020,TIME 미국S&P500액티브,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
444490,WON 미국S&P500,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
