strategy_id,score_mode,event_mode,flow_gate,construction_mode,cagr,mdd,sharpe,beats_rrg,total_return,final_equity,monthly_win_rate,monthly_bm_win_rate,avg_turnover,avg_total_count,median_total_count,p90_total_count,max_total_count
rrgi_qavg_vol_break_smart_accel_op12_x105,qavg,vol_break,smart_accel,op12_x105,0.08738117455082528,-0.17491563196538584,0.8023604795128302,False,0.6768679607254082,167686796.07254082,0.5714285714285714,0.45454545454545453,0.07279931699258584,3.664011585807386,3.0,7.0,16
rrgi_op12_vol_break_smart_accel_op12_x105,op12,vol_break,smart_accel,op12_x105,0.08738117455082528,-0.17491563196538584,0.8023604795128302,False,0.6768679607254082,167686796.07254082,0.5714285714285714,0.45454545454545453,0.07279931699258584,3.664011585807386,3.0,7.0,16
rrgi_blend_vol_break_smart_accel_op12_x105,blend,vol_break,smart_accel,op12_x105,0.08738117455082528,-0.17491563196538584,0.8023604795128302,False,0.6768679607254082,167686796.07254082,0.5714285714285714,0.45454545454545453,0.07279931699258584,3.664011585807386,3.0,7.0,16
rrgi_accel_vol_break_smart_accel_op12_x105,accel,vol_break,smart_accel,op12_x105,0.08738117455082528,-0.17491563196538584,0.8023604795128302,False,0.6768679607254082,167686796.07254082,0.5714285714285714,0.45454545454545453,0.07279931699258584,3.664011585807386,3.0,7.0,16
rrgi_eps_op_vol_break_smart_accel_op12_x105,eps_op,vol_break,smart_accel,op12_x105,0.08738117455082528,-0.17491563196538584,0.8023604795128302,False,0.6768679607254082,167686796.07254082,0.5714285714285714,0.45454545454545453,0.07279931699258584,3.664011585807386,3.0,7.0,16
rrgi_qavg_vol_break_smart_accel_op12_x110,qavg,vol_break,smart_accel,op12_x110,0.09132917192422041,-0.18274329808574574,0.8021808449725385,False,0.7147908788701636,171479087.88701636,0.5714285714285714,0.45454545454545453,0.07627130596359741,3.664011585807386,3.0,7.0,16
rrgi_op12_vol_break_smart_accel_op12_x110,op12,vol_break,smart_accel,op12_x110,0.09132917192422041,-0.18274329808574574,0.8021808449725385,False,0.7147908788701636,171479087.88701636,0.5714285714285714,0.45454545454545453,0.07627130596359741,3.664011585807386,3.0,7.0,16
rrgi_blend_vol_break_smart_accel_op12_x110,blend,vol_break,smart_accel,op12_x110,0.09132917192422041,-0.18274329808574574,0.8021808449725385,False,0.7147908788701636,171479087.88701636,0.5714285714285714,0.45454545454545453,0.07627130596359741,3.664011585807386,3.0,7.0,16
rrgi_accel_vol_break_smart_accel_op12_x110,accel,vol_break,smart_accel,op12_x110,0.09132917192422041,-0.18274329808574574,0.8021808449725385,False,0.7147908788701636,171479087.88701636,0.5714285714285714,0.45454545454545453,0.07627130596359741,3.664011585807386,3.0,7.0,16
rrgi_eps_op_vol_break_smart_accel_op12_x110,eps_op,vol_break,smart_accel,op12_x110,0.09132917192422041,-0.18274329808574574,0.8021808449725385,False,0.7147908788701636,171479087.88701636,0.5714285714285714,0.45454545454545453,0.07627130596359741,3.664011585807386,3.0,7.0,16
